ticker,sector,cluster,roe,net_profit_margin,debt_to_equity,pe_ratio,revenue_growth,score_total
TREX,Basic Materials,0,0.3662,0.106,0.0,33.2656,0.1435,0.4058276678219229
CSTE,Basic Materials,0,0.2443,0.1753,0.0404,26.5867,0.2548,0.3934222153266888
AAON,Basic Materials,0,0.2537,0.1239,0.0,27.642,0.1096,0.3705090151432862
EXP,Basic Materials,0,0.1494,0.1383,0.4585,35.0435,0.3981,0.30804847686075093
BCPC,Basic Materials,0,0.1348,0.0976,0.8484,38.2989,0.6057,0.256938326784161
EQM,Energy,2,0.2831,0.5822,0.6326,24.9292,0.382,0.5315412229990089
REI,Energy,2,0.0591,0.2211,0.0,30.8824,2.6924,0.48564919404078644
GPOR,Energy,2,0.1077,0.3688,0.3064,14.3931,1.5528,0.4729552166198614
FANG,Energy,2,0.1107,0.3909,0.3846,16.2888,1.3832,0.4662524692716376
SRCI,Energy,0,0.1025,0.2073,0.1314,56.5263,1.2547,0.40194770887091164
GILD,Healthcare,2,0.7845,0.4862,0.8041,11.8566,1.2219,0.7029013061286014
ENTA,Healthcare,2,0.2317,0.7214,0.0,21.0479,0.4894,0.6435792797873751
TARO,Healthcare,2,0.3549,0.4746,0.0176,13.6364,0.1316,0.5595882418763226
ANIP,Healthcare,2,0.2057,0.5136,0.7622,21.6054,0.8606,0.48687667169654353
ANIK,Healthcare,2,0.2152,0.3629,0.0,15.6092,0.4064,0.4769423954707114
XPER,Technology,2,0.3149,0.6114,0.0,11.0712,0.6516,0.6352577131508756
ATHM,Technology,2,0.2043,0.351,0.0,32.1287,0.7170000000000001,0.4851068437017955
NTES,Technology,2,0.2034,0.4061,0.0876,16.8239,0.2473,0.47362726602284194
MANH,Technology,0,0.4505,0.1666,0.0,37.3578,0.1872,0.46551255682339315
YY,Technology,2,0.3445,0.2894,0.7922,20.9857,0.9756,0.443558551036831
