Ticker,Sector,ROE,Net Profit Margin,Debt to Equity,PE ratio,Revenue Growth,2015 PRICE VAR [%],Class
CX,Basic Materials,0.0084,0.0055,1.8644,0.0,-0.0709,-41.24949729384192,0
VALE,Basic Materials,0.0119,0.0187,0.5539,62.9231,-0.249,-56.36293345501039,0
GSM,Basic Materials,0.0785,0.0271,1.0469,44.1795,-0.032,-36.60122033644252,0
FCX,Basic Materials,-0.0603,-0.0551,1.0307,0.0,-0.044,-70.57682249401594,0
NUE,Basic Materials,0.0874,0.0322,0.5898,23.1368,0.1078,-14.856608891955863,0
X,Basic Materials,0.0268,0.0058,0.9208,37.662,0.0048,-69.64392345491194,0
AUY,Basic Materials,-0.206,-0.7537,0.3403,0.0,-0.0041,-52.42875427484408,0
KGC,Basic Materials,-0.2577,-0.36,0.425,0.0,-0.0829,-37.241379565489545,0
NGD,Basic Materials,-0.2101,-0.6572,0.385,0.0,-0.0689,-47.51131463354957,0
GGB,Basic Materials,0.0436,0.033,0.6062,11.5297,-0.0537,-63.81196035435009,0
AA,Basic Materials,-0.0242,-0.0195,0.0323,0.0,0.0457,-37.20341070708819,0
EGO,Basic Materials,0.0194,0.0961,0.114,43.4286,-0.0499,-53.50836475437266,0
OLN,Basic Materials,0.1043,0.0472,0.6662,16.9925,-0.1089,-22.373666786876186,0
JCI,Basic Materials,0.1074,0.0317,0.5906,15.6252,0.0432,-23.31978190469324,0
AU,Basic Materials,-0.0137,-0.0076,1.3079,0.0,-0.0507,-19.134403942609943,0
CMC,Basic Materials,0.0609,0.0117,1.0158,18.1979,0.0287,-12.619352796576033,0
MAS,Basic Materials,0.9264,0.1222,3.7056,9.2267,0.0362,30.792916329129,1
TECK,Basic Materials,0.0195,0.0421,0.4537,25.1568,-0.1608,-71.17510882272742,0
WPM,Basic Materials,0.0551,0.3222,0.2752,36.3036,-0.1222,-39.49296018853665,0
BTG,Basic Materials,-0.4533,0.0,0.2585,0.0,0.0,-41.04046567226236,0
CENX,Basic Materials,0.1144,0.0655,0.2305,18.626,0.3278,-82.07623640047271,0
HL,Basic Materials,0.0128,0.0356,0.3734,55.8,0.3089,-33.1172769731603,0
STLD,Basic Materials,0.0539,0.0179,1.0236,29.0294,0.1876,-7.567285135997716,0
AWI,Basic Materials,0.0983,0.0493,1.6062,44.4522,-0.4879,-9.553010312247885,0
CE,Basic Materials,0.2214,0.0917,0.9663,14.8784,0.0449,14.245129918543864,1
HUN,Basic Materials,0.1817,0.0279,2.8836,17.1278,0.045,-48.8097004451217,0
IAG,Basic Materials,-0.076,-0.1973,0.2451,0.0,0.0637,-49.46619266902732,0
WY,Basic Materials,0.3443,0.3327,1.0185,11.2156,-0.2433,-13.649550442312275,0
SID,Basic Materials,-0.013,-0.0065,3.4322,0.0,-0.1742,-46.04172226876477,0
SLCA,Basic Materials,0.301,0.1386,1.226,11.3673,0.6058,-28.110184247512606,0
CF,Basic Materials,0.3302,0.2931,1.0909,10.0383,-0.1337,-21.87530528145711,0
LYB,Basic Materials,0.502,0.0915,0.8474,9.8867,0.0351,12.187883417883912,1
VMC,Basic Materials,0.0491,0.0684,0.4752,42.1346,0.0807,42.40730053340632,1
CC,Basic Materials,0.109,0.0622,0.0,0.1092,-0.0623,2248.62082842859,1
LPX,Basic Materials,-0.0676,-0.039,0.6786,0.0,-0.0721,8.887546277514568,1
NEM,Basic Materials,0.0494,0.0745,0.6469,18.5294,-0.1896,-6.517043309250172,0
MEOH,Basic Materials,0.2545,0.141,0.9971,9.5678,0.0659,-25.599584479963497,0
RIO,Basic Materials,0.141,0.1369,0.5449,13.0445,-0.0685,-32.89605930869074,0
EMN,Basic Materials,0.214,0.0788,2.1507,15.0815,0.0189,-9.6738590931031,0
MLM,Basic Materials,0.0358,0.0526,0.3644,40.4103,0.3722,24.494311658791407,1
FOE,Basic Materials,0.2653,0.0774,0.9454,13.0909,-0.0647,-14.592937829519368,0
MOS,Basic Materials,0.0961,0.1136,0.3581,16.9703,-0.0921,-38.11707681490027,0
MT,Basic Materials,-0.0258,-0.0137,0.4704,0.0,-0.002,-60.33627587379349,0
CCJ,Basic Materials,0.034,0.0773,0.2739,40.5686,-0.0998,-22.398434101210817,0
AEM,Basic Materials,0.0204,0.0437,0.3433,57.8837,0.1577,-1.5448712586140338,0
PVG,Basic Materials,-0.016,0.0,0.0,0.0,0.0,-18.18181677438852,0
ASH,Basic Materials,0.065,0.0381,0.9068,16.7532,0.0049,-11.47524930596362,0
ARLP,Basic Materials,0.4901,0.2161,0.8261,9.0252,0.0431,-65.58480208849207,0
BHP,Basic Materials,0.1748,0.2437,0.4411,26.3269,0.0539,-42.32362567584414,0
AGI,Basic Materials,-0.104,-0.5883,0.1927,0.0,0.0217,-55.07134402151327,0
CBT,Basic Materials,0.1025,0.0546,0.552,16.5915,0.0553,-4.084499669545907,0
AG,Basic Materials,-0.118,-0.2503,0.1592,0.0,-0.0232,-37.3563196866248,0
NG,Basic Materials,-0.0999,0.0,0.2253,0.0,0.0,35.80645702135815,1
BCC,Basic Materials,0.1625,0.0224,0.5976,18.3005,0.0917,-33.37681698811572,0
UEC,Basic Materials,-0.6589,0.0,0.4681,0.0,-1.0,-40.11299693773557,0
SQM,Basic Materials,0.1061,0.1176,0.8006,25.8358,-0.0858,-20.010413764658736,0
SXT,Basic Materials,0.0703,0.0509,0.446,39.6974,-0.0098,6.607540528828701,1
FMC,Basic Materials,0.2009,0.0944,1.1201,21.5053,0.0409,-30.12521256607441,0
SCCO,Basic Materials,0.2296,0.2303,0.7203,17.5155,-0.0278,-7.099649672205426,0
BMCH,Basic Materials,0.5251,0.0717,1.5083,6.3306,0.0837,8.414240820606821,1
GRA,Basic Materials,0.7551,0.1572,5.5092,25.9918,-0.4259,4.086516636459739,1
SUM,Basic Materials,-0.0307,-0.0073,3.6717,28.8026,0.1891,40233.29349046558,1
TROX,Basic Materials,-0.2652,-0.2458,1.4863,0.0,-0.0963,-81.76952272386643,0
SBGL,Basic Materials,0.1059,0.0712,0.2163,12.2146,0.0222,-16.393348037321868,0
ALB,Basic Materials,0.0981,0.0545,2.1583,35.5799,0.0214,-4.969031133354875,0
OC,Basic Materials,0.0612,0.043,0.545,18.651,-0.0066,33.859069482864115,1
EXP,Basic Materials,0.1494,0.1383,0.4585,35.0435,0.3981,-21.13798835138577,0
MDU,Basic Materials,0.0952,0.0725,0.6681,15.1613,0.0497,-20.60784045704198,0
SAND,Basic Materials,0.0273,0.2038,0.0,34.0,-0.0559,-29.67914150442251,0
ECL,Basic Materials,0.1644,0.0842,0.8951,26.0648,0.0775,10.944551416351883,1
RYN,Basic Materials,0.0667,0.1646,0.5049,35.8205,-0.0852,-17.774160466044933,0
PPG,Basic Materials,0.4058,0.1421,0.7749,15.2072,0.0369,-12.185052519619644,0
TMST,Basic Materials,0.0616,0.0275,0.2476,36.6634,0.2124,-77.0777706417184,0
FNV,Basic Materials,0.0313,0.2412,0.0,69.2817,0.1035,-5.092937033871162,0
FUL,Basic Materials,0.0559,0.0237,0.6459,42.97,0.0281,-15.445026567127965,0
BVN,Basic Materials,-0.022,-0.0713,0.1222,0.0,-0.1527,-55.73940390898668,0
EXK,Basic Materials,-0.3876,-0.3785,0.1508,0.0,-0.2885,-37.719299346346176,0
FSM,Basic Materials,0.0572,0.0897,0.0,37.9167,0.2665,-51.92307515962582,0
PAAS,Basic Materials,-0.3486,-0.7246,0.0387,0.0,-0.088,-29.87860520098329,0
SHW,Basic Materials,0.8690000000000001,0.0778,1.8051,29.2267,0.0927,-0.1233205562793313,0
SSRM,Basic Materials,-0.2182,-0.4211,0.3505,0.0,0.7181,-1.8939465434861475,0
UFS,Basic Materials,0.1491,0.0775,0.4706,6.0481,0.0319,-2.211765686041147,0
HBM,Basic Materials,0.0309,0.1286,0.4919,28.0,-0.018,-56.961161830582846,0
VEDL,Basic Materials,0.0221,0.0213,1.1433,35.6078,-0.0889,-58.25391140985282,0
MAG,Basic Materials,-0.0976,0.0,0.0,0.0,0.0,-14.837153494974803,0
CRH,Basic Materials,0.0572,0.0308,0.5764,25.1361,-0.0769,24.283424642647702,1
BLDR,Basic Materials,0.4515,0.0113,9.3259,36.1579,0.0767,64.14814701786747,1
GPRE,Basic Materials,0.2,0.0493,0.8437,5.6705,0.064,-9.27004976823454,0
RPM,Basic Materials,0.2109,0.0666,0.9774,19.6273,0.073,-10.456944981616372,0
CMP,Basic Materials,0.3334,0.1699,0.9584,13.462,0.1354,-10.704560293697927,0
IFF,Basic Materials,0.273,0.1342,0.6205,19.9136,0.0459,20.80341997448252,1
AVD,Basic Materials,0.0185,0.0162,0.3771,68.3529,-0.2162,21.10371778198788,1
SMG,Basic Materials,0.3007,0.0646,1.4165,20.3704,-0.0704,7.387456166329793,1
HSC,Basic Materials,-0.0721,-0.0107,2.8338,0.0,-0.2865,-55.12816288570619,0
WLK,Basic Materials,0.233,0.1537,0.2624,12.002,0.1745,-10.945706978732575,0
USCR,Basic Materials,0.2028,0.0292,2.1722,18.7171,0.1765,77.12748287331779,1
APD,Basic Materials,0.1346,0.095,0.8307,25.8424,0.0254,-8.21974930187479,0
SXC,Basic Materials,-0.2921,-0.0839,1.4675,0.0,-0.0873,-80.89646403858177,0
