"ticker","sector","roe","net_profit_margin","debt_to_equity","pe_ratio","revenue_growth"
CENX,Basic Materials,0.1144,0.0655,0.2305,18.626,0.3278
CE,Basic Materials,0.2214,0.0917,0.9663,14.8784,0.0449
SLCA,Basic Materials,0.301,0.1386,1.226,11.3673,0.6058
LYB,Basic Materials,0.502,0.0915,0.8474,9.8867,0.0351
MEOH,Basic Materials,0.2545,0.141,0.9971,9.5678,0.0659
ARLP,Basic Materials,0.4901,0.2161,0.8261,9.0252,0.0431
BHP,Basic Materials,0.1748,0.2437,0.4411,26.3269,0.0539
CBT,Basic Materials,0.1025,0.0546,0.552,16.5915,0.0553
FMC,Basic Materials,0.2009,0.0944,1.1201,21.5053,0.0409
BMCH,Basic Materials,0.5251,0.0717,1.5083,6.3306,0.0837
SBGL,Basic Materials,0.1059,0.0712,0.2163,12.2146,0.0222
EXP,Basic Materials,0.1494,0.1383,0.4585,35.0435,0.3981
MDU,Basic Materials,0.0952,0.0725,0.6681,15.1613,0.0497
ECL,Basic Materials,0.1644,0.0842,0.8951,26.0648,0.0775
PPG,Basic Materials,0.4058,0.1421,0.7749,15.2072,0.0369
SHW,Basic Materials,0.8690000000000001,0.0778,1.8051,29.2267,0.0927
UFS,Basic Materials,0.1491,0.0775,0.4706,6.0481,0.0319
RPM,Basic Materials,0.2109,0.0666,0.9774,19.6273,0.073
CMP,Basic Materials,0.3334,0.1699,0.9584,13.462,0.1354
IFF,Basic Materials,0.273,0.1342,0.6205,19.9136,0.0459
WLK,Basic Materials,0.233,0.1537,0.2624,12.002,0.1745
APD,Basic Materials,0.1346,0.095,0.8307,25.8424,0.0254
CSTE,Basic Materials,0.2443,0.1753,0.0404,26.5867,0.2548
SWM,Basic Materials,0.1834,0.1129,0.8955,14.3878,0.0278
MERC,Basic Materials,0.2578,0.0963,1.5699,6.7527,0.0797
MTX,Basic Materials,0.1071,0.0536,1.6632,25.9142,0.6942
TREX,Basic Materials,0.3662,0.106,0.0,33.2656,0.1435
AAON,Basic Materials,0.2537,0.1239,0.0,27.642,0.1096
NEU,Basic Materials,0.5539999999999999,0.0999,0.8634,21.9548,0.0241
BCPC,Basic Materials,0.1348,0.0976,0.8484,38.2989,0.6057
TREC,Basic Materials,0.1286,0.0538,0.6643,22.9688,0.2261
TANH,Basic Materials,0.2357,0.2135,0.1565,24.2424,0.0698
WDFC,Basic Materials,0.2582,0.1142,0.5785,24.0381,0.0392
NP,Basic Materials,0.238,0.0818,0.7904,14.7359,0.0742
IOSP,Basic Materials,0.163,0.0875,0.2745,12.3768,0.1735
KWR,Basic Materials,0.158,0.0738,0.2118,21.555,0.05
NTIC,Basic Materials,0.0897,0.1531,0.0,21.8804,0.1922
CCR,Basic Materials,0.6146,0.2508,1.0515,9.3636,0.5136
CINR,Basic Materials,0.3015,0.0957,0.9824,11.5247,0.0518
POPE,Basic Materials,0.4963,0.3644,1.3973,22.5638,0.2373
USLM,Basic Materials,0.1252,0.1293,0.1077,20.9971,0.1202
GILD,Healthcare,0.7845,0.4862,0.8041,11.8566,1.2219
JNJ,Healthcare,0.1868,0.1939999999999999,0.2455,18.1603,0.0423
CI,Healthcare,0.1951,0.0602,0.4758,12.9122,0.0783
CELG,Healthcare,0.3065,0.2607,1.0532,44.9237,0.1812
BIIB,Healthcare,0.2715,0.3025,0.054,27.3309,0.3997
ALXN,Healthcare,0.1989999999999999,0.2941,0.0498,55.7319,0.44
AMGN,Healthcare,0.2001,0.2571,1.1915,23.425,0.0743
BDX,Healthcare,0.2345,0.1403,0.7859,18.5661,0.0487
A,Healthcare,0.1036,0.1356,0.3137,23.965,0.0395
UHS,Healthcare,0.146,0.0665,0.8776,20.1558,0.1136
ACHC,Healthcare,0.0943,0.0827,1.2255,40.5364,0.4082
TMO,Healthcare,0.0922,0.1122,0.7088,26.3214,0.2902
LIVN,Healthcare,0.2118,0.1946,0.0,31.9315,0.1089
DGX,Healthcare,0.1293,0.0748,0.87,17.5091,0.0404
VNDA,Healthcare,0.1255,0.4025,0.0,24.6897,0.4805
EW,Healthcare,0.3701,0.3492,0.2729,16.7165,0.1356
DVA,Healthcare,0.1399,0.0565,1.6282,22.2111,0.0876
GRFS,Healthcare,0.1769,0.1401,1.6374,20.3435,0.0771
LH,Healthcare,0.1812,0.085,1.0742,17.8939,0.035
COO,Healthcare,0.105,0.1571,0.5379,29.2157,0.0819
LMNX,Healthcare,0.122,0.172,0.0,19.9574,0.0635
TFX,Healthcare,0.0982,0.102,0.5589999999999999,25.2907,0.0846
LCI,Healthcare,0.1939,0.2086,0.0039,29.1882,0.8124
WST,Healthcare,0.1328,0.0894,0.3506,29.743,0.0387
ALGN,Healthcare,0.1937,0.1915,0.0,30.8895,0.1537
VAR,Healthcare,0.2497,0.1324,0.2707,18.2838,0.0363
CRL,Healthcare,0.1885,0.0976,1.1491,23.6912,0.1134
SNN,Healthcare,0.124,0.1085,0.422,32.7451,0.0611
MTD,Healthcare,0.47,0.1361,0.6281,25.8292,0.045
CBPO,Healthcare,0.3344,0.2915,0.4616,23.5895,0.1962
ICLR,Healthcare,0.1815,0.1147,0.0,18.2107,0.1252
CBM,Healthcare,0.2281,0.153,0.2388,11.6237,0.1774
MYGN,Healthcare,0.2451,0.2264,0.0,16.7039,0.2691
UTHR,Healthcare,0.2738,0.264,0.1018,18.3414,0.1536
GMED,Healthcare,0.158,0.195,0.0,24.2551,0.0919
FMS,Healthcare,0.1107,0.066,1.0024,21.4682,0.0836
RDY,Healthcare,0.2369,0.1628,0.4927,20.7722,0.0315
MD,Healthcare,0.1401,0.1301,0.2512,20.5311,0.1323
TECH,Healthcare,0.1395,0.3101,0.0163,30.7542,0.1519
CMD,Healthcare,0.1185,0.0885,0.2204,31.9333,0.1499
ENTA,Healthcare,0.2317,0.7214,0.0,21.0479,0.4894
ANIP,Healthcare,0.2057,0.5136,0.7622,21.6054,0.8606
CO,Healthcare,0.0919,0.2303,0.5838,15.5099,0.0927
USPH,Healthcare,0.1308,0.0627,0.2435,26.7261,0.1553
TARO,Healthcare,0.3549,0.4746,0.0176,13.6364,0.1316
CHE,Healthcare,0.22,0.0682,0.3268,18.2504,0.0304
NEOG,Healthcare,0.0919,0.1138,0.0,48.0223,0.1922
ANIK,Healthcare,0.2152,0.3629,0.0,15.6092,0.4064
ATRI,Healthcare,0.1859,0.1976,0.0,23.9444,0.0664
IRMD,Healthcare,0.0981,0.131,0.0,56.087,0.3803
TRIB,Healthcare,0.0874,0.1641,0.0,23.0395,0.1497
MSON,Healthcare,0.0852,0.0817,0.0,35.5789,0.1506
PMD,Healthcare,0.2498,0.1098,0.4867,25.25,0.0869
HAL,Energy,0.2152,0.1065,0.4782,9.523,0.118
SWN,Energy,0.1982,0.2288,1.4944,10.3764,0.1979
SLB,Energy,0.1437,0.1119,0.3522,20.3357,0.0732
DVN,Energy,0.0746,0.0779,0.5229,15.5751,0.985
CHK,Energy,0.1134,0.0829,0.6824,10.1399,0.212
SRCI,Energy,0.1025,0.2073,0.1314,56.5263,1.2547
KOS,Energy,0.2086,0.3165,0.5589,11.4932,0.0359
LPI,Energy,0.1699,0.3345,1.1383,5.5053,0.1934
PTEN,Energy,0.0559999999999999,0.0511,0.3391,14.8125,0.1717
EOG,Energy,0.1646,0.1617,0.3337,17.1772,0.2449
FTI,Energy,0.1001,0.0433,0.5988,10.9465,0.1386
RES,Energy,0.2274,0.1049,0.2082,11.4386,0.2557
WMB,Energy,0.2409,0.2768,2.4589,15.2857,0.1133
PAA,Energy,0.1702,0.0318,1.2285,21.4728,0.0288
AR,Energy,0.1537,0.2476,0.9952,15.7899,1.0719
EPD,Energy,0.1543,0.0581,1.1827,23.9205,0.0047
NBL,Energy,0.1176,0.2373,0.5877,14.1161,0.0199
CRZO,Energy,0.2051,0.3187,1.2247,8.3367,0.3653
CLR,Energy,0.1967,0.2035,1.1935,14.4755,0.4032
PXD,Energy,0.1084,0.1834,0.3086,23.2578,0.3866
XEC,Energy,0.1169999999999999,0.2172,0.3295,17.6373,0.2133
NOV,Energy,0.1209,0.1167,0.153,11.2017,0.1154
