ticker;sector;cluster;roe;net_profit_margin;debt_to_equity;pe_ratio;revenue_growth;score_total;peso_%;inversion_eur
TREX;Basic Materials;0;0,3662;0,106;0;33,2656;0,1435;0,4058;4,29%;2.143,48 €
CSTE;Basic Materials;0;0,2443;0,1753;0,0404;26,5867;0,2548;0,3934;4,16%;2.077,99 €
AAON;Basic Materials;0;0,2537;0,1239;0;27,642;0,1096;0,3705;3,91%;1.957,02 €
EXP;Basic Materials;0;0,1494;0,1383;0,4585;35,0435;0,3981;0,308;3,25%;1.626,89 €
BCPC;Basic Materials;0;0,1348;0,0976;0,8484;38,2989;0,6057;0,2569;2,71%;1.356,98 €
EQM;Energy;2;0,2831;0,5822;0,6326;24,9292;0,382;0,5315;5,61%;2.807,45 €
REI;Energy;2;0,0591;0,2211;0;30,8824;2,6924;0,4856;5,13%;2.565,00 €
GPOR;Energy;2;0,1077;0,3688;0,3064;14,3931;1,5528;0,473;5,00%;2.498,44 €
FANG;Energy;2;0,1107;0,3909;0,3846;16,2888;1,3832;0,4663;4,93%;2.463,05 €
SRCI;Energy;0;0,1025;0,2073;0,1314;56,5263;1,2547;0,4019;4,25%;2.122,88 €
GILD;Healthcare;2;0,7845;0,4862;0,8041;11,8566;1,2219;0,7029;7,43%;3.712,80 €
ENTA;Healthcare;2;0,2317;0,7214;0;21,0479;0,4894;0,6436;6,80%;3.399,57 €
TARO;Healthcare;2;0,3549;0,4746;0,0176;13,6364;0,1316;0,5596;5,91%;2.955,87 €
ANIP;Healthcare;2;0,2057;0,5136;0,7622;21,6054;0,8606;0,4869;5,14%;2.571,86 €
ANIK;Healthcare;2;0,2152;0,3629;0;15,6092;0,4064;0,4769;5,04%;2.519,04 €
XPER;Technology;2;0,3149;0,6114;0;11,0712;0,6516;0,6353;6,71%;3.355,73 €
ATHM;Technology;2;0,2043;0,351;0;32,1287;0,717;0,4851;5,12%;2.562,36 €
NTES;Technology;2;0,2034;0,4061;0,0876;16,8239;0,2473;0,4736;5,00%;2.501,61 €
MANH;Technology;0;0,4505;0,1666;0;37,3578;0,1872;0,4655;4,92%;2.458,83 €
YY;Technology;2;0,3445;0,2894;0,7922;20,9857;0,9756;0,4436;4,69%;2.343,15 €
;;;;;;;;;;
;;;;;;;;;;
RESUMEN CARTERA;;;;;;;;;;
Total invertido (€);;50.000,00 €;;;;;;;;
Nº empresas;;20;;;;;;;;
ROE medio ponderado;;0,2749;;;;;;;;
Margen medio ponderado;;0,3734;;;;;;;;
Deuda media ponderada;;0,2564;;;;;;;;
